company,website,total_citations,research_reports,lab_reports,field_reports,testimonials,news_articles,sentiment
Imerys Filtration Minerals Inc.,https://www.imerys.com/,74,32,11,14,6,11,Neutral
FMC Professional Solutions,https://www.fmc.com/en,46,16,5,10,5,10,Neutral
BioWorks Canada,https://bioworksinc.com/,55,19,6,11,6,13,Neutral
Lucent Bioscience,https://lucentbiosciences.com/,43,8,2,15,4,14,Neutral
Blacksmith BioScience,https://blacksmithbio.com/,40,11,10,9,5,5,Neutral
Winfield United Canada,https://www.winfieldunited.ca/en,61,14,6,16,13,12,Neutral
Target Specialty Products Inc.,https://www.target-specialty.com/,40,8,6,7,5,14,Neutral
Orbem,https://orbem.ai/,121,35,12,18,14,42,Neutral
Summit Agro USA LLC,https://www.summitagro-usa.com/,45,11,4,12,6,12,Neutral
Nufarm Americas Inc.,https://nufarm.com/us/,80,39,4,13,2,22,Neutral
Huma Gro,https://humagro.com/case-studies/,113,24,11,42,14,22,Neutral